ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL",Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date",Question,Answer,Doctor,"Youtube link","instagram Link","Facebook link","Start Date","Start Date Time","End Date","End Date Time",Place,Contact,Description,"Useful Link",About,Diagnose,Treatment,"Related Service",Information,file,"Library File Link","Member Registration Text","Member Registration Image","Member Registration Link",Mail,Phone,Location,Thumbnail,"Header Ad","Header Ad Link",Link,Doctor,Ad,"AD Link","Ad 2","AD Link 2","Ad 3","AD Link 3",node_id,node_left,node_right,首頁主Banner,"分頁專區 Logo","Main Gallery B","Main Gallery C","Video link(ID)","Video Full Link","Top Image",Doctor
122,香港癌症資料統計中心,,,20180325,useful_link,http://cancerinfo.uat.ideas-time.com/useful_link/%e9%a6%99%e6%b8%af%e7%99%8c%e7%97%87%e8%b3%87%e6%96%99%e7%b5%b1%e8%a8%88%e4%b8%ad%e5%bf%83-2/,http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/03/Hong-Kong-Cancer-Registry.jpg|http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/03/2018-04-11_011951.jpg|http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/03/demo_link_logo.jpg,"Hong Kong Cancer Registry|香港癌症資料統計中心|demo_link_logo",||,||,||,http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/03/Hong-Kong-Cancer-Registry.jpg,,publish,1,super_admin,ckhk0621@gmail.com,CK,Lam,%e9%a6%99%e6%b8%af%e7%99%8c%e7%97%87%e8%b3%87%e6%96%99%e7%b5%b1%e8%a8%88%e4%b8%ad%e5%bf%83-2,,,0,0,0,closed,closed,20180511,,,,,,,,,,,,,,http://www3.ha.org.hk/cancereg/tc/default.asp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,香港防癌會,,,20180410,useful_link,http://cancerinfo.uat.ideas-time.com/useful_link/%e9%a6%99%e6%b8%af%e9%98%b2%e7%99%8c%e6%9c%83/,http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/04/HKACS.jpg|http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/04/logo1.jpg,"HKACS|HKACS 	香港防癌會",|,|,|,http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/04/HKACS.jpg,,publish,1,super_admin,ckhk0621@gmail.com,CK,Lam,%e9%a6%99%e6%b8%af%e9%98%b2%e7%99%8c%e6%9c%83,,,0,0,0,closed,closed,20180511,,,,,,,,,,,,,,https://www.hkacs.org.hk/tc/index.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,醫院管理局智友站,,,20180410,useful_link,http://cancerinfo.uat.ideas-time.com/useful_link/%e9%86%ab%e9%99%a2%e7%ae%a1%e7%90%86%e5%b1%80%e6%99%ba%e5%8f%8b%e7%ab%99/,,,,,,,,publish,1,super_admin,ckhk0621@gmail.com,CK,Lam,%e9%86%ab%e9%99%a2%e7%ae%a1%e7%90%86%e5%b1%80%e6%99%ba%e5%8f%8b%e7%ab%99,,,0,0,0,closed,closed,20180410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,香港癌症基金會,,,20180410,useful_link,http://cancerinfo.uat.ideas-time.com/useful_link/%e9%a6%99%e6%b8%af%e7%99%8c%e7%97%87%e5%9f%ba%e9%87%91%e6%9c%83/,http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/04/Cancer-Fund.jpg,"Cancer Fund",,,,http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/04/Cancer-Fund.jpg,,publish,1,super_admin,ckhk0621@gmail.com,CK,Lam,%e9%a6%99%e6%b8%af%e7%99%8c%e7%97%87%e5%9f%ba%e9%87%91%e6%9c%83,,,0,0,0,closed,closed,20180511,,,,,,,,,,,,,,http://www.cancer-fund.org/en/?m=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,泰山公德會,,,20180410,useful_link,http://cancerinfo.uat.ideas-time.com/useful_link/%e6%b3%b0%e5%b1%b1%e5%85%ac%e5%be%b7%e6%9c%83/,http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/04/泰山公德會.jpg,泰山公德會,,,,http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/04/泰山公德會.jpg,,publish,1,super_admin,ckhk0621@gmail.com,CK,Lam,%e6%b3%b0%e5%b1%b1%e5%85%ac%e5%be%b7%e6%9c%83,,,0,0,0,closed,closed,20180511,,,,,,,,,,,,,,http://www.taishan-international.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,兒童癌病基金,,,20180410,useful_link,http://cancerinfo.uat.ideas-time.com/useful_link/%e5%85%92%e7%ab%a5%e7%99%8c%e7%97%85%e5%9f%ba%e9%87%91/,http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/04/兒童癌病基金.jpg,兒童癌病基金,,,,http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/04/兒童癌病基金.jpg,,publish,1,super_admin,ckhk0621@gmail.com,CK,Lam,%e5%85%92%e7%ab%a5%e7%99%8c%e7%97%85%e5%9f%ba%e9%87%91,,,0,0,0,closed,closed,20180511,,,,,,,,,,,,,,http://www.ccf.org.hk/index.php?&lang=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,香港血癌基金,,,20180510,useful_link,http://cancerinfo.uat.ideas-time.com/useful_link/%e9%a6%99%e6%b8%af%e8%a1%80%e7%99%8c%e5%9f%ba%e9%87%91/,http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/04/Hong-Kong-Blood-Cancer-Foundation.png,"Hong Kong Blood Cancer Foundation",,,,http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/04/Hong-Kong-Blood-Cancer-Foundation.png,,publish,1,super_admin,ckhk0621@gmail.com,CK,Lam,%e9%a6%99%e6%b8%af%e8%a1%80%e7%99%8c%e5%9f%ba%e9%87%91,,,0,0,0,closed,closed,20180514,,,,,,,,,,,,,,http://www.hkbcf.org.hk/chi/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,香港肝癌及腸胃癌基金會,,,20180510,useful_link,http://cancerinfo.uat.ideas-time.com/useful_link/%e9%a6%99%e6%b8%af%e8%82%9d%e7%99%8c%e5%8f%8a%e8%85%b8%e8%83%83%e7%99%8c%e5%9f%ba%e9%87%91%e6%9c%83/,http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/05/香港肝癌及腸胃癌基金會.jpg,香港肝癌及腸胃癌基金會,,,,http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/05/香港肝癌及腸胃癌基金會.jpg,,publish,1,super_admin,ckhk0621@gmail.com,CK,Lam,%e9%a6%99%e6%b8%af%e8%82%9d%e7%99%8c%e5%8f%8a%e8%85%b8%e8%83%83%e7%99%8c%e5%9f%ba%e9%87%91%e6%9c%83,,,0,0,0,closed,closed,20180511,,,,,,,,,,,,,,http://www.hklcf.org/index.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,藥物教育資源中心,,,20180510,useful_link,http://cancerinfo.uat.ideas-time.com/useful_link/%e8%97%a5%e7%89%a9%e6%95%99%e8%82%b2%e8%b3%87%e6%ba%90%e4%b8%ad%e5%bf%83/,http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/05/derchk_cn-1.jpg|http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/05/derchk_cn.jpg,derchk_cn|derchk_cn,|,|,|,http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/05/derchk_cn-1.jpg,,publish,1,super_admin,ckhk0621@gmail.com,CK,Lam,%e8%97%a5%e7%89%a9%e6%95%99%e8%82%b2%e8%b3%87%e6%ba%90%e4%b8%ad%e5%bf%83,,,0,0,0,closed,closed,20180510,,,,,,,,,,,,,,http://www.derc.org.hk/en/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,銘琪癌症關顧中心,,,20180510,useful_link,http://cancerinfo.uat.ideas-time.com/useful_link/%e9%8a%98%e7%90%aa%e7%99%8c%e7%97%87%e9%97%9c%e9%a1%a7%e4%b8%ad%e5%bf%83/,http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/05/銘琪癌症關顧中心.jpg,銘琪癌症關顧中心,,,,http://cancerinfo.uat.ideas-time.com/wp-content/uploads/sites/25/2018/05/銘琪癌症關顧中心.jpg,,publish,1,super_admin,ckhk0621@gmail.com,CK,Lam,%e9%8a%98%e7%90%aa%e7%99%8c%e7%97%87%e9%97%9c%e9%a1%a7%e4%b8%ad%e5%bf%83,,,0,0,0,closed,closed,20180510,,,,,,,,,,,,,,https://www.maggiescentre.org.hk/zh/home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
